女の子がキッキッ嬉しそう。	おんなのこがきっきっうれしそお。
ギェナーを見てイェーイと叫ぶ。	ぎぇなあおみていぇえいとさけぶ。
スィーディーを聞きながら、でゃーこんを食べる。	すぃいでぃいおききながら、でゃあこんおたべる。
テョさんはズィーブラを見た。	てょさんわずぃいぶらおみた。
レヴォリューション。レギュレーション。エデュケーション。	れヴぉりゅうしょん。れぎゅれえしょん。えでゅけえしょん。
ブレンドデョート。ラーテャン。	ぶれんどでょおと。らあてゃん。
あっあの。いっいえ。えっえぇ。おっおい。んーとね。	あっあの。いっいえ。えっえぇ。おっおい。んんとね。
いぶかしげに見上げた雨雲から、琥珀色のドラゴンがギュンと現れた。	いぶかしげにみあげたあまぐもから、こはくいろのどらごんがぎゅんとあらわれた。
布でギュギュっとヌンチャクを縛る。	ぬのでぎゅぎゅっとぬんちゃくおしばる。
服を脱ぐが、いつも上下が逆さまだ。	ふくおぬぐが、いつもじょおげがさかさまだ。
放課後の音楽室で、高音を頑張って出した。	ほおかごのおんがくしつで、こおおんおがんばってだした。
モゴモゴしながら言うギャグは面白くない。	もごもごしながらゆうぎゃぐわおもしろくない。
海水魚の漁業の一環として、稚魚が育てられている。	かいすいぎょのぎょぎょおのいっかんとして、ちぎょがそだてられている。
ムンムンとした熱気に、あの淡水魚もへとへとになっている。	むんむんとしたねっきに、あのたんすいぎょもへとへとになっている。
ヘスティア所長は、十二音音楽の作法を知っている。	へすてぃあしょちょおわ、じゅうにおんおんがくのさほおおしっている。
主催者は、このフェスのキャパが小さいことを、セシルから聞いた。	しゅさいしゃわ、このふぇすのきゃぱがちいさいことお、せしるからきいた。
母は、サフランライスと、さつまいもの入ったシチューと、ポトフをハフハフしながら食べた。	ははわ、さふらんらいすと、さつまいものはいったしちゅうと、ぽとふおはふはふしながらたべた。
そして、左京と千紗はヘファ駅に着いた。	そして、さきょおとちさわへふぁえきについた。
根本と曽原は主君を批判した。	ねもととそはらわしゅくんおひはんした。
ケケっと笑いながら、津原はパトカーに乗った。	けけっとわらいながら、つはらわぱとかあにのった。
キュキュッと鳴らした靴でパスを出した。	きゅきゅっとならしたくつでぱすおだした。
ティファニーはパピーにムギュッと抱き着きながら、チュチュッとキスをし、センキュと言った。	てぃふぁにいわぱぴいにむぎゅっとだきつきながら、ちゅちゅっときすおし、せんきゅといった。
その義軍は、一ヘクタールほふく前進をした。	そのぎぐんわ、いちへくたあるほふくぜんしんおした。
へへっと、きゃつは媚びへつらった。	へへっと、きゃつわこびへつらった。
ほとんどの被調査者は、写真を車載した。	ほとんどのひちょおさしゃわ、しゃしんおしゃさいした。
補佐が、一酸化炭素中毒になるというハプニングは起きなかった。	ほさが、いっさんかたんそちゅうどくになるとゆうはぷにんぐわおきなかった。
スチューデントが被災するファクターを、可能な限り取り払う。	すちゅうでんとがひさいするふぁくたあお、かのおなかぎりとりはらう。
カフェとは、ブレックファストとして、フォカッチャを食べれる場所でもある。	かふぇとわ、ぶれっくふぁすととして、ふぉかっちゃおたべれるばしょでもある。
普通、初級者では、高音を伸ばすことはできない。	ふつう、しょきゅうしゃでわ、こおおんおのばすことわできない。
彼からしたら、左中間から見る景色は貴重だった。	かれからしたら、さちゅうかんからみるけしきわきちょおだった。
シェパードと同居中に、フォスターはその格付け表を見た。	しぇぱあどとどおきょちゅうに、ふぉすたあわそのかくずけひょおおみた。
去々年、虚数とヘ長調について学んだ。	きょきょねん、きょすうとへちょおちょおについてまなんだ。
脚立の上でヒュヒューと風が吹くと、彼は背筋を伸ばした。	きゃたつのうえでひゅひゅうとかぜがふくと、かれわせすじおのばした。
昼にはペスカトーレを、夜には寿司をパクパク食べた。	ひるにわぺすかとおれお、よるにわすしおぱくぱくたべた。
ケフィアに関するこの本は、初版では三百部くらいだったが、次から波及的に増加した。	けふぃあにかんするこのほんわ、しょはんでわさんびゃくぶくらいだったが、つぎからはきゅうてきにぞおかした。
皮膚が私のフェチである。	ひふがわたしのふぇちである。
社販で巨富を築くという、彼の目論見は途中でへし折られた。	しゃはんできょふおきずくとゆう、かれのもくろみわとちゅうでへしおられた。
左表のとおりの支出になることが、ある意味わが社の社風である。	さひょおのとおりのししゅつになることが、あるいみわがしゃのしゃふうである。
この古風な酒瓢は故郷のものだ。	このこふうなしゅひょおわこきょおのものだ。
そのほつれが腐敗しているというのは、誇張した表現だと思う。	そのほつれがふはいしているとゆうのわ、こちょおしたひょおげんだとおもう。
その映画の出演者である彼が、主犯である可能性はフィフティーフィフティーだ。	そのええがのしゅつえんしゃであるかれが、しゅはんであるかのおせえわふぃふてぃいふぃふてぃいだ。
チュクンの波長は、パツンと共通している。	ちゅくんのはちょおわ、ぱつんときょおつうしている。
